config	fold_strategy	fold	fold_index	model	training_variant	epoch	accuracy	balanced_accuracy	mcc	seed	train_size	eval_size	train_dataset_size	augmentation_repeats	noise_std	amplitude_min	amplitude_max	duration	overlap	y_true	y_pred
mixed_short_no_overlap	mixed_stratified	mixed_4	4	EEG-Conformer	not_augmented	78	0.6666666667	0.5833333333	0.1889822365	2004	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0]	[0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0]
mixed_short_no_overlap	mixed_stratified	mixed_1	1	EEGNet	augmented	3	0.6666666667	0.7083333333	0.3952847075	2001	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0]	[1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0]
mixed_short_no_overlap	mixed_stratified	mixed_2	2	EEGNet	augmented	24	0.6666666667	0.6250000000	0.2500000000	2002	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0]	[1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0]
mixed_short_no_overlap	mixed_stratified	mixed_3	3	EEGNet	augmented	9	0.7777777778	0.8333333333	0.6324555320	2003	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0]	[1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0]
mixed_short_no_overlap	mixed_stratified	mixed_4	4	EEGNet	augmented	16	0.5555555556	0.6250000000	0.2500000000	2004	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0]	[0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1]
mixed_short_no_overlap	mixed_stratified	mixed_1	1	EEGNet	not_augmented	12	0.6666666667	0.7500000000	0.5000000000	2001	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0]	[1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0]
mixed_short_no_overlap	mixed_stratified	mixed_2	2	EEGNet	not_augmented	37	0.6666666667	0.6250000000	0.2500000000	2002	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0]	[1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0]
mixed_short_no_overlap	mixed_stratified	mixed_3	3	EEGNet	not_augmented	38	0.8333333333	0.8750000000	0.7071067812	2003	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0]	[0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0]
mixed_short_no_overlap	mixed_stratified	mixed_4	4	EEGNet	not_augmented	62	0.5555555556	0.6250000000	0.2500000000	2004	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0]	[0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1]
mixed_short_no_overlap	mixed_stratified	mixed_1	1	ShallowConvNet	augmented	8	0.7222222222	0.7083333333	0.4029114820	2001	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0]	[1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1]
mixed_short_no_overlap	mixed_stratified	mixed_2	2	ShallowConvNet	augmented	4	0.7222222222	0.7916666667	0.5640760748	2002	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0]	[1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0]
mixed_short_no_overlap	mixed_stratified	mixed_3	3	ShallowConvNet	augmented	60	0.6666666667	0.7083333333	0.3952847075	2003	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0]	[1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0]
mixed_short_no_overlap	mixed_stratified	mixed_4	4	ShallowConvNet	augmented	2	0.6111111111	0.6666666667	0.3223291856	2004	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0]	[0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1]
mixed_short_no_overlap	mixed_stratified	mixed_1	1	ShallowConvNet	not_augmented	3	0.7777777778	0.7500000000	0.5000000000	2001	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0]	[1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0]
mixed_short_no_overlap	mixed_stratified	mixed_2	2	ShallowConvNet	not_augmented	23	0.8333333333	0.8750000000	0.7071067812	2002	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0]	[1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0]
mixed_short_no_overlap	mixed_stratified	mixed_3	3	ShallowConvNet	not_augmented	92	0.6666666667	0.7083333333	0.3952847075	2003	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0]	[1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0]
mixed_short_no_overlap	mixed_stratified	mixed_4	4	ShallowConvNet	not_augmented	7	0.6111111111	0.7083333333	0.4385290097	2004	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0]	[0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1]
