config	fold_strategy	model	n_folds	n_samples	both_correct	augmented_correct_not_augmented_wrong	augmented_wrong_not_augmented_correct	both_wrong	statistic	p_value	reject	skip_reason
mixed_short_no_overlap	mixed_stratified	DeepConvNet	4	72	26	5	10	31	5.0	0.30175781249999994	False	
mixed_short_no_overlap	mixed_stratified	EEG-Conformer	4	72	43	7	8	14	7.0	1.0	False	
mixed_short_no_overlap	mixed_stratified	EEGNet	4	72	45	3	4	20	3.0	1.0	False	
mixed_short_no_overlap	mixed_stratified	ShallowConvNet	4	72	46	3	6	17	3.0	0.5078125	False	
