test_file,Model,acc,b_acc,f1,mcc
lewy1,GMM,0.5714,0.7,0.5714,0.4
lewy2,GMM,0.7143,0.5,0.0,0.0
prawy1,GMM,0.2857,0.2,0.0,-0.5477
prawy2,GMM,0.7143,0.5,0.0,0.0
lewy1,HMM,0.5625,0.45,0.0,-0.2
lewy2,HMM,0.4375,0.5167,0.5263,0.0413
prawy1,HMM,0.625,0.5,0.0,0.0
prawy2,HMM,0.5,0.5333,0.5,0.0667
