config	fold_strategy	model	training_variant	folds	epoch_mean	accuracy_mean	accuracy_std	balanced_accuracy_mean	balanced_accuracy_std	mcc_mean	mcc_std
series_overlap	leave_one_series_out	DeepConvNet	augmented	4	75.5000000000	0.8218390805	0.1281235449	0.8211206897	0.1191987656	0.6684682124	0.1990687250
series_overlap	leave_one_series_out	DeepConvNet	not_augmented	4	67.5000000000	0.5143678161	0.1238969031	0.6228448276	0.0998614900	0.2550317174	0.2053750776
series_overlap	leave_one_series_out	EEG-Conformer	augmented	4	22.7500000000	0.7528735632	0.0865891907	0.7737068966	0.0852042991	0.5358239758	0.1638915158
series_overlap	leave_one_series_out	EEG-Conformer	not_augmented	4	5.2500000000	0.7701149425	0.1175002776	0.8125000000	0.0838857778	0.6143309748	0.1532204452
series_overlap	leave_one_series_out	EEGNet	augmented	4	6.2500000000	0.7758620690	0.1239302221	0.7909482759	0.1004180841	0.5808274524	0.1937403446
series_overlap	leave_one_series_out	EEGNet	not_augmented	4	35.0000000000	0.7873563218	0.1145106830	0.7909482759	0.0996752679	0.5865448248	0.1949531380
series_overlap	leave_one_series_out	ShallowConvNet	augmented	4	66.0000000000	0.7212643678	0.0746573624	0.7047413793	0.0598424283	0.4362624136	0.0989217545
series_overlap	leave_one_series_out	ShallowConvNet	not_augmented	4	35.2500000000	0.6867816092	0.0755370082	0.7155172414	0.0541801944	0.4398485869	0.1027566903
